,Section,Left border (lat),Central border (lat),Right border (lat),Bransfield positive flow rate,Bransfield negative flow rate,Weddell positive flow rate,Weddell negative flow rate,Bransfield lat,Bransfield lon,Weddell lat,Weddell lon,datetime,date,time
0,AI50tr1_5,-63.758578221313655,-63.41787925455719,-62.99869147595018,1205218.1208643415,-17804.46557879651,134784.01879986172,-14563.179357102848,-63.02512179594487,-60.50787169486284,-63.53265097830445,-60.927400449290865,2015-11-07 06:13:00,7/11/2015,6:13:0
1,AI50tr2_2,-62.99953817389906,-63.418972338549786,-63.778314501978464,170376.0219423726,-674958.6052234161,0.0,-778125.196878114,-63.72079913970083,-61.08491925057024,-63.73666763305664,-61.09887884929776,2015-11-14 00:24:00,14/11/2015,0:24:0
2,AI50tr3_5,-63.73554102145136,-63.42019324656576,-62.98630583100022,1567861.4912931097,0.0,178423.44037902888,-29208.17639668587,-63.24506063014269,-60.72860752232372,-63.24506063014269,-60.72860752232372,2015-12-07 03:18:00,7/12/2015,3:18:0
3,AI50tr4_2,-63.794894870370634,-63.41817128006369,-63.00302383024246,1194565.046008793,0.0,84211.55120680474,-19690.521154968617,-63.11629376839846,-60.57486644480378,-63.55468704365193,-60.932164513506,2015-12-17 04:01:00,17/12/2015,4:1:0
4,AI50tr1_4,-61.501067080535,-62.189837484620504,-62.46534565463662,Nan,Nan,28288.009619859913,-80813.74459578558,-61.78004611283541,-55.49605443142354,-62.666532201692455,-56.505703325383365,2015-11-04 02:48:00,4/11/2015,2:48:0
5,AI50tr2_3,-63.706824495457106,-63.39846869464964,-62.60998486541212,Nan,Nan,95841.34499941587,-20535.2818259772,-62.86115433555096,-60.04060150589794,-63.54035612661392,-60.93985352665186,2015-11-19 05:36:00,19/11/2015,5:36:0
6,AI50tr5_2,-63.700222573243074,-63.42017262708396,-62.99519282765687,1447099.5802951525,-54898.715090768936,193738.08093032602,-17221.60509756501,-63.08568012434989,-60.547392200678594,-63.77357403282076,-61.13195488695055,2015-12-26 23:59:00,26/12/2015,23:59:0
7,AI50tr6_4,-61.284526227973394,-62.15339933987707,-62.543310304172344,Nan,Nan,0.0,-284481.6324211605,-61.47985893767327,-55.030645988881595,-61.505015208385885,-55.06620923057199,2016-01-11 22:24:00,11/1/2016,22:24:0
8,AI50tr6_5, -62.89015890564771, -62.699964134953916, -62.58514941204339, 1934454.9619179047, -2497.1585224506975, 14859.067989412742, -1610650.9335820116, -62.80027045402676, -58.63401954062282, -62.63420269824565, -59.410868240520365,2016-01-12 23:45:00,12/1/2016,23:45:0
9,AI50tr6_6,-63.00415672827512,-63.42170706018806,-63.701222869567566,509563.2229602607,-258224.40611990204,4567.386322261237,-440139.39911030367,-63.541874634102,-60.950822210870676,-63.76642083283514,-61.13719399552792,2016-01-13 22:55:00,13/1/2016,22:55:0
10,AI50tr7_2,-63.702875445596895,-63.42127836775035,-63.00158193334937,2067902.3073852328,-9553.43140585732,191812.99185459613,-110188.23729332203,-63.052782914601266,-60.526807503774755,-63.589963372796774,-60.98379611503333,2016-01-28 04:37:00,28/1/2016,4:37:0
11,AI50tr8_5, -62.89970031939446, -62.8000739403069, -62.581897987984114, 2548916.532535099, -156245.68852339959,0, -1042081.8088212298, -62.59308950509876, -59.61709247902036, -62.6044334890321, -59.57600501831621,2016-02-12 20:57:00,12/2/2016,20:57:0
12,AI50tr9_2,-63.69776558596641,-63.41873735189438,-62.99963972065598,961639.003808628,-56776.984240255515,34852.86809277037,-352623.1313421275,-63.34855928085744,-60.777765666134655,-63.422612766735256,-60.8330912142992,2016-02-25 03:33:00,25/2/2016,3:33:0
13,AI50tr11_2,-62.41876595187932,-62.85966663155705,-63.45018771942705,218274.19394929055,-557471.5004172914,Nan,Nan,-63.111967113800354,-59.80253626126796,-63.61819592770189,-60.97557183355093,2016-03-13 23:23:00,13/3/2016,23:23:0
14,AI52tr1_4,-61.99737440329045,-62.202485860325396,-62.59799199644476,Nan,Nan,7974.1518941442455,-691380.0113751354,-62.064131693914526,-55.910553457215435,-62.72451791446656,-56.86021960806103,2016-12-01 17:58:00,1/12/2016,17:58:0
15,AI52tr1_5,-62.9504959937185,-62.83911500126123,-62.59923167992383,981727.9283226054,-1934582.1138258784,0.0,-939893.1141115106,-62.92233388870954,-58.28328563366085,-62.9585320595652,-58.115152325481176,2016-12-03 00:50:00,3/12/2016,0:50:0
16,AI52tr1_7,-63.0062949936837,-63.419929216615856,-63.667777441442006,1025774.5513265276,-80609.13998096647,33872.69255597702,-241631.54594700554,-63.010311182588346,-60.51341904792936,-63.43527032062411,-60.84540959447622,2016-12-03 22:24:00,3/12/2016,22:24:0
17,AI52tr2_2,-63.70001319330186,-63.419660408981144,-62.99328221473843,1418462.0807448728,-63615.53165058669,Nan,Nan,-63.32009655889124,-60.74906892143189,-63.44970073085278,-60.857128081843264,2016-12-15 00:38:00,15/12/2016,0:38:0
18,AI52tr3_3,-63.02419831976295,-63.42160157393664,-63.701250068843365,459154.6857707871,-363200.1586529442,546.5015321120565,-409114.94561570365,-63.20369157940149,-60.64876591321081,-63.61673567444086,-61.011411300860345,2016-12-21 17:36:00,21/12/2016,17:36:0
19,AI52tr3_4,-63.79986089654268,-63.457063101232045,-63.10153801459819,1574888.682079693,-137573.31785155312,652759.0809043174,-112598.85428102512,-62.895728261210024,-61.99046159628779,-63.57547345105559,-61.42586749512702,2016-12-25 21:59:00,25/12/2016,21:59:0
20,AI52tr4_5,-63.01755800843239,-63.42076522763818,-63.68785184808075,551085.0810851438,-442576.0999561593,1536.935073662511,-827303.4187672461,-63.09635347221047,-60.56967414915562,-63.100084005855024,-60.573182855732746,2017-01-09 22:33:00,9/1/2017,22:33:0
21,AI52tr5_2,-63.700986457988606,-63.41811683960261,-63.00066080410034,1401528.3855391415,-733.1598468460771,320814.3887887804,-89310.40322810682,-63.149536186829216,-60.61294161714613,-63.50701907649636,-60.916985641233616,2017-01-24 05:03:00,24/1/2017,5:3:0
22,AI52tr6_5,-63.017099266871824,-63.42203563079238,-63.699783235788345,757393.5386213276,-299061.0334006286,24691.270219948598,-595186.4251709719,-63.13693332485855,-60.59372266754508,-63.25466071721166,-60.69085492752493,2017-02-09 22:27:00,9/2/2017,22:27:0
23,AI52tr7_2,-63.61444267909974,-63.41888365801424,-63.00011262763292,1559589.9823573316,-45142.24811979504,382536.7374447186,-61412.523190254295,-63.2792898081243,-60.71359641384333,-63.60944622661918,-60.9919354878366,2017-02-22 07:21:00,22/2/2017,7:21:0
24,AI52tr8_2,-63.70016121771186,-63.42132656369358,-63.00095358397812,1316072.556572722,-97099.70706970301,299957.85334373376,-146300.0089237955,-63.23002148419618,-60.6796800903976,-63.66648620925845,-61.05405980721116,2017-03-04 01:55:00,4/3/2017,1:55:0
25,AI52tr9_2,-62.32596076559275,-62.861126591451466,-63.40113082900643,1470834.788931096,-125758.03170536878,0.0,-1641540.1447941572,-62.974926182068884,-59.81667577754706,-63.02629664540291,-59.908152180723846,2017-03-11 20:06:00,11/3/2017,20:6:0
26,AI52tr10_2,-63.70026561431586,-63.419991242699325,-62.99866163637489,693748.6503904164,-31516.62094331576,342503.5308276655,-113260.62459760928,-63.217331073246896,-60.66683201584965,-63.31796747166664,-60.748858284205205,2017-03-24 02:59:00,24/3/2017,2:59:0
27,AI54tr1_4,-63.651923574507244,-63.41963589191437,-62.611506222747266,3502218.0814562174,0.0,96835.54062711855,-11837.548047429336,-62.74389134254306,-59.881533812731504,-63.0643166648224,-60.3208449902013,2017-11-03 01:37:00,3/11/2017,1:37:0
28,AI54tr2_2,-62.64180982019752,-63.44349967315793,-63.69987279642373,2045189.3785580103,-192450.71307287703,346.4788608668638,-223438.07694411266,-63.10203397180885,-60.322004961781204,-63.14716364722699,-60.38164019118994,2017-11-09 21:56:00,9/11/2017,21:56:0
29,AI54tr3_2, -63.00034933257848, -62.69792783539742, -62.60011982638389, 1133414.4404845636, -2066.3482029429565, 78990.1446960815, -1304958.5668970246, -62.94791805557906, -59.05940150376409, -63.198257004842155, -58.719003153964884,2017-11-24 10:59:00,24/11/2017,10:59:0
30,AI54tr3_3, -62.59908311069012, -62.69976049661636, -62.85050093661994, 2924488.123891784,0, 278163.0899416246, -346835.22363562195, -62.71241867914796, -59.08828935585915, -62.66872989479453, -59.31503613945097,2017-11-24 22:03:00,24/11/2017,22:3:0
31,AI54tr3_4,-62.99874608404934,-62.77897610329092,-62.59516067337245,993761.1794741754,-646244.598229212,7497.644734900853,-374137.62033035455,-62.781046265736215,-58.75585720874368,-62.81267919111997,-58.58079395256937,2017-11-27 01:10:00,27/11/2017,1:10:0
32,AI54tr4_4,-61.496998085640364,-62.39747541490942,-62.69871837459505,581174.8319514561,-836852.4861088941,5458.446816663596,-575991.7185635738,-61.87849164940418,-55.866474243812256,-62.06548361107707,-56.2247377820313,2017-12-11 21:48:00,11/12/2017,21:48:0
33,AI54tr4_5,-62.91975393891335,-62.810391308739774,-62.60065182577818,947440.2522008694,-495751.0120010411,0.0,-1459975.0665476138,-62.72899041417986,-59.10347241908312,-62.8898489428684,-58.34582984447479,2017-12-13 01:13:00,13/12/2017,1:13:0
34,AI54tr4_6,-63.006777623668306,-63.419917942956104,-63.614023332484074,85410.15110082642,-377089.65917988046,0.0,-224155.30694783185,-63.006777623668306,-60.50457982812078,-63.412548950873315,-60.821924549527466,2017-12-14 00:27:00,14/12/2017,0:27:0
35,AI54tr5_2,-63.69737737812103,-63.41945040039717,-62.99972697626799,1955100.24261682,-3909.3410616151455,151657.7743766103,-32668.48948970333,-63.14161000773311,-60.5989072099328,-63.17551430314779,-60.626414604485035,2017-12-25 02:00:00,25/12/2017,2:0:0
36,AI54tr6_2,-63.69976630434394,-63.422826421447105,-63.01072210539133,1404253.6860224516,-2289.551615552664,160839.18973918006,-23297.726108343104,-63.37755144573747,-60.80225955694914,-63.39060517027974,-60.8135856455192,2018-01-02 04:16:00,2/1/2018,4:16:0
37,AI54tr7_3,-63.69966584723443,-63.41832039412111,-62.99946064129472,1411012.549107813,-15300.246672582016,480492.9523915066,-56147.790835330125,-63.07741334661842,-60.54045558907092,-63.59186874702573,-60.97855805419386,2018-01-22 01:59:00,22/1/2018,1:59:0
38,AI54tr8_1,-62.70261101424694,-62.842664653435364,-63.24689605738968,Nan,Nan,65217.5308462882,-527326.0070410438,-62.70833744667471,-59.655139320530004,-62.97500224784017,-60.06125040818007,2018-01-24 05:53:00,24/1/2018,5:53:0
39,AI54tr8_2,-63.699334845878184,-63.416806412860744,-63.005989766679704,1275778.9528893915,0.0,359746.7080121227,-30005.809831141847,-63.57542860787362,-60.9685401711613,-63.67392322048545,-61.04675661306828,2018-01-27 03:54:00,27/1/2018,3:54:0
40,AI54tr8_3,-62.57092909421772,-62.76464782655239,-62.90015667211264,2573051.863771868,-90438.32722959373,169470.63926783748,-346520.6312654191,-62.67183593474329,-59.080996681004756,-62.9532884247601,-57.58503927849232,2018-01-27 20:11:00,27/1/2018,20:11:0
